user_id,page,session_duration,traffic_source,bounce,entry_page,exit_page
1,Contact,493,Referral,0,Checkout,Home
2,Home,195,Referral,1,Checkout,Home
3,Home,452,Referral,0,Blog,Contact
4,Checkout,479,Direct,0,Products,Products
5,Contact,401,Direct,1,Contact,Home
6,Blog,298,Organic,0,Checkout,Products
7,Checkout,196,Social,1,Checkout,Contact
8,Contact,195,Organic,1,Products,Blog
9,Products,478,Social,0,Products,Products
10,Contact,482,Organic,0,Contact,Checkout
11,Contact,337,Referral,1,Home,Checkout
12,Home,299,Referral,0,Home,Products
13,Home,370,Direct,0,Home,Contact
14,Home,492,Organic,0,Blog,Checkout
15,Products,572,Direct,0,Blog,Home
16,Home,121,Direct,0,Products,Checkout
17,Contact,117,Referral,1,Contact,Contact
18,Contact,508,Social,0,Checkout,Products
19,Checkout,337,Referral,0,Home,Products
20,Contact,372,Organic,0,Products,Products
21,Home,407,Social,1,Home,Products
22,Contact,542,Social,0,Home,Checkout
23,Blog,55,Social,0,Blog,Contact
24,Home,217,Organic,1,Blog,Checkout
25,Products,434,Direct,0,Home,Blog
26,Products,152,Direct,1,Checkout,Products
27,Contact,417,Referral,1,Contact,Checkout
28,Home,598,Referral,0,Contact,Checkout
29,Products,500,Organic,0,Contact,Blog
30,Home,501,Social,0,Products,Blog
31,Contact,308,Referral,0,Blog,Blog
32,Home,66,Direct,0,Contact,Home
33,Contact,528,Direct,0,Blog,Blog
34,Contact,295,Direct,0,Contact,Contact
35,Products,137,Organic,0,Products,Contact
36,Contact,332,Organic,1,Products,Contact
37,Products,513,Organic,0,Products,Products
38,Home,93,Direct,1,Products,Checkout
39,Contact,282,Organic,0,Contact,Contact
40,Blog,366,Direct,1,Home,Home
41,Blog,442,Organic,0,Contact,Contact
42,Checkout,198,Social,1,Home,Contact
43,Home,234,Social,1,Products,Blog
44,Home,18,Direct,0,Checkout,Blog
45,Contact,76,Referral,0,Checkout,Home
46,Checkout,268,Social,0,Checkout,Products
47,Products,195,Organic,1,Home,Blog
48,Contact,282,Organic,1,Checkout,Blog
49,Products,281,Social,0,Home,Checkout
50,Contact,217,Direct,0,Products,Home
51,Blog,497,Organic,0,Home,Products
52,Contact,184,Social,1,Home,Home
53,Blog,409,Social,0,Checkout,Contact
54,Contact,549,Direct,0,Checkout,Contact
55,Contact,323,Social,0,Contact,Products
56,Products,565,Direct,1,Products,Contact
57,Home,511,Direct,1,Blog,Products
58,Blog,219,Organic,1,Contact,Contact
59,Contact,64,Social,1,Products,Checkout
60,Blog,547,Social,0,Products,Checkout
61,Blog,27,Organic,0,Home,Products
62,Checkout,82,Social,0,Contact,Home
63,Contact,464,Referral,0,Contact,Contact
64,Home,372,Social,1,Home,Contact
65,Home,290,Direct,0,Home,Checkout
66,Blog,259,Social,1,Checkout,Blog
67,Contact,581,Organic,1,Checkout,Home
68,Blog,485,Referral,1,Products,Home
69,Home,464,Direct,0,Checkout,Products
70,Products,40,Referral,0,Products,Blog
71,Contact,364,Referral,0,Home,Blog
72,Checkout,335,Direct,0,Contact,Checkout
73,Contact,575,Direct,0,Blog,Home
74,Contact,476,Organic,1,Blog,Home
75,Contact,584,Referral,0,Contact,Products
76,Checkout,468,Organic,0,Products,Contact
77,Home,31,Direct,1,Contact,Home
78,Contact,553,Organic,0,Products,Home
79,Home,190,Direct,1,Blog,Home
80,Contact,587,Social,0,Products,Home
81,Checkout,111,Organic,1,Home,Products
82,Checkout,479,Social,1,Checkout,Home
83,Home,148,Organic,1,Contact,Blog
84,Home,197,Referral,1,Checkout,Checkout
85,Blog,125,Referral,0,Home,Home
86,Blog,442,Social,0,Blog,Checkout
87,Products,94,Direct,0,Checkout,Home
88,Blog,595,Organic,0,Contact,Products
89,Checkout,204,Referral,0,Contact,Contact
90,Home,258,Direct,1,Home,Contact
91,Checkout,48,Direct,0,Blog,Home
92,Checkout,436,Organic,1,Home,Checkout
93,Contact,35,Organic,0,Contact,Contact
94,Blog,33,Social,0,Contact,Blog
95,Home,551,Social,0,Blog,Blog
96,Checkout,139,Social,1,Blog,Blog
97,Home,78,Direct,1,Home,Contact
98,Products,229,Organic,0,Checkout,Blog
99,Checkout,463,Social,1,Home,Contact
100,Products,204,Social,0,Home,Checkout
101,Blog,447,Organic,0,Products,Home
102,Blog,173,Direct,1,Blog,Blog
103,Products,288,Direct,1,Contact,Home
104,Contact,220,Direct,0,Contact,Contact
105,Checkout,233,Referral,1,Checkout,Products
106,Checkout,423,Organic,0,Products,Home
107,Contact,235,Referral,1,Blog,Checkout
108,Contact,125,Direct,1,Blog,Contact
109,Products,115,Direct,1,Checkout,Blog
110,Checkout,299,Organic,1,Home,Home
111,Contact,550,Direct,0,Contact,Blog
112,Contact,121,Social,1,Checkout,Home
113,Contact,213,Direct,1,Products,Checkout
114,Blog,541,Referral,1,Contact,Home
115,Home,231,Referral,1,Blog,Blog
116,Checkout,264,Direct,0,Home,Products
117,Blog,522,Direct,1,Checkout,Checkout
118,Products,183,Referral,0,Contact,Checkout
119,Home,30,Organic,1,Products,Checkout
120,Home,557,Organic,0,Products,Products
121,Contact,116,Organic,0,Blog,Home
122,Contact,162,Direct,0,Blog,Blog
123,Checkout,246,Referral,0,Blog,Contact
124,Contact,483,Social,1,Products,Blog
125,Blog,419,Organic,0,Blog,Contact
126,Contact,151,Direct,1,Contact,Contact
127,Blog,258,Organic,0,Blog,Checkout
128,Checkout,327,Social,1,Home,Checkout
129,Contact,256,Organic,0,Home,Blog
130,Contact,127,Social,0,Home,Home
131,Blog,296,Referral,0,Blog,Products
132,Products,408,Referral,1,Checkout,Blog
133,Home,494,Social,1,Products,Checkout
134,Products,187,Social,1,Products,Blog
135,Products,458,Organic,1,Blog,Blog
136,Contact,566,Social,1,Contact,Blog
137,Products,355,Direct,1,Home,Products
138,Checkout,242,Social,1,Blog,Home
139,Contact,464,Organic,0,Contact,Contact
140,Contact,518,Referral,1,Products,Home
141,Products,500,Organic,0,Products,Checkout
142,Products,431,Referral,0,Blog,Checkout
143,Contact,509,Organic,1,Checkout,Contact
144,Contact,192,Organic,1,Checkout,Home
145,Products,48,Social,1,Contact,Blog
146,Checkout,564,Referral,1,Products,Checkout
147,Products,382,Referral,0,Checkout,Checkout
148,Contact,270,Social,1,Checkout,Products
149,Checkout,308,Organic,0,Contact,Home
150,Products,100,Referral,0,Home,Checkout
151,Products,230,Direct,1,Home,Checkout
152,Products,329,Social,0,Products,Home
153,Contact,195,Social,0,Contact,Blog
154,Checkout,539,Direct,1,Products,Checkout
155,Home,290,Social,0,Home,Products
156,Products,426,Organic,0,Checkout,Home
157,Blog,139,Referral,1,Checkout,Home
158,Home,42,Social,0,Blog,Contact
159,Blog,35,Direct,1,Contact,Contact
160,Checkout,204,Organic,1,Products,Products
161,Contact,269,Social,1,Blog,Contact
162,Products,59,Direct,1,Blog,Checkout
163,Products,451,Direct,1,Checkout,Checkout
164,Products,388,Organic,0,Contact,Blog
165,Checkout,481,Social,0,Home,Blog
166,Contact,495,Organic,1,Blog,Products
167,Contact,152,Direct,1,Blog,Checkout
168,Blog,49,Referral,0,Blog,Products
169,Blog,475,Direct,1,Checkout,Products
170,Blog,360,Organic,0,Products,Blog
171,Checkout,26,Direct,0,Checkout,Contact
172,Contact,467,Direct,1,Home,Contact
173,Blog,433,Social,1,Blog,Home
174,Contact,117,Social,0,Products,Home
175,Home,299,Social,0,Blog,Contact
176,Home,346,Organic,1,Products,Checkout
177,Products,437,Referral,1,Blog,Home
178,Checkout,285,Social,1,Home,Products
179,Blog,222,Social,1,Checkout,Contact
180,Products,446,Social,0,Home,Checkout
181,Products,95,Referral,1,Checkout,Checkout
182,Checkout,486,Social,1,Contact,Checkout
183,Blog,556,Referral,1,Checkout,Blog
184,Checkout,183,Direct,1,Contact,Checkout
185,Blog,476,Social,1,Checkout,Home
186,Contact,191,Social,0,Blog,Home
187,Products,222,Referral,0,Blog,Home
188,Contact,386,Referral,0,Contact,Contact
189,Checkout,356,Direct,1,Products,Contact
190,Contact,462,Referral,1,Contact,Home
191,Blog,579,Direct,0,Contact,Home
192,Contact,452,Direct,0,Checkout,Contact
193,Home,348,Organic,1,Home,Products
194,Products,487,Organic,0,Blog,Blog
195,Blog,293,Direct,1,Home,Blog
196,Blog,280,Social,1,Contact,Home
197,Blog,236,Social,1,Blog,Contact
198,Products,395,Organic,0,Blog,Checkout
199,Products,521,Referral,1,Checkout,Blog
200,Products,562,Organic,0,Products,Checkout
201,Products,62,Social,1,Contact,Contact
202,Contact,474,Social,1,Blog,Contact
203,Home,165,Social,0,Contact,Blog
204,Products,589,Social,0,Contact,Checkout
205,Blog,13,Social,1,Blog,Checkout
206,Blog,143,Organic,0,Products,Contact
207,Home,304,Organic,1,Checkout,Home
208,Checkout,47,Direct,1,Blog,Blog
209,Contact,297,Referral,0,Products,Home
210,Contact,512,Referral,1,Home,Checkout
211,Contact,334,Organic,0,Checkout,Contact
212,Blog,331,Social,1,Contact,Products
213,Products,472,Organic,1,Home,Blog
214,Blog,23,Direct,1,Checkout,Home
215,Products,61,Social,1,Products,Checkout
216,Products,205,Organic,0,Products,Blog
217,Checkout,534,Organic,0,Home,Checkout
218,Blog,10,Social,1,Blog,Checkout
219,Contact,406,Social,0,Blog,Blog
220,Checkout,516,Organic,0,Home,Blog
221,Blog,296,Referral,0,Checkout,Checkout
222,Contact,202,Organic,0,Checkout,Products
223,Home,278,Referral,1,Blog,Products
224,Home,166,Direct,0,Blog,Blog
225,Checkout,85,Social,0,Contact,Home
226,Contact,514,Organic,1,Checkout,Products
227,Checkout,574,Direct,0,Products,Blog
228,Home,130,Social,0,Contact,Home
229,Checkout,88,Organic,0,Home,Checkout
230,Checkout,527,Direct,0,Checkout,Products
231,Products,189,Organic,1,Contact,Checkout
232,Contact,127,Referral,1,Blog,Blog
233,Checkout,101,Organic,0,Checkout,Products
234,Products,310,Social,1,Blog,Home
235,Products,88,Social,1,Blog,Home
236,Blog,357,Organic,1,Products,Contact
237,Contact,162,Social,1,Contact,Home
238,Products,594,Referral,1,Contact,Blog
239,Products,489,Referral,0,Products,Contact
240,Contact,321,Organic,0,Contact,Products
241,Checkout,229,Referral,1,Home,Checkout
242,Checkout,430,Direct,0,Contact,Home
243,Checkout,201,Referral,0,Products,Contact
244,Checkout,196,Referral,0,Products,Products
245,Blog,509,Referral,1,Contact,Checkout
246,Checkout,599,Direct,0,Home,Contact
247,Blog,588,Direct,1,Products,Blog
248,Home,326,Social,0,Contact,Products
249,Blog,389,Organic,0,Contact,Home
250,Checkout,238,Social,0,Home,Blog
251,Home,179,Organic,0,Home,Products
252,Products,120,Referral,1,Products,Blog
253,Contact,468,Referral,1,Contact,Home
254,Home,220,Social,0,Blog,Products
255,Products,182,Social,0,Products,Home
256,Checkout,274,Referral,1,Blog,Blog
257,Contact,202,Social,1,Checkout,Contact
258,Blog,72,Referral,1,Blog,Home
259,Blog,16,Direct,0,Home,Blog
260,Contact,201,Social,0,Products,Checkout
261,Contact,22,Organic,1,Contact,Home
262,Checkout,269,Social,0,Checkout,Products
263,Home,192,Referral,1,Products,Home
264,Contact,135,Referral,0,Home,Blog
265,Contact,561,Social,1,Home,Checkout
266,Contact,400,Referral,1,Home,Home
267,Contact,291,Referral,0,Checkout,Checkout
268,Products,443,Social,0,Checkout,Blog
269,Checkout,65,Direct,1,Blog,Contact
270,Checkout,495,Referral,1,Home,Contact
271,Blog,253,Social,1,Contact,Contact
272,Blog,599,Organic,0,Products,Products
273,Blog,552,Referral,1,Home,Contact
274,Home,160,Social,0,Checkout,Contact
275,Products,208,Direct,0,Home,Home
276,Home,483,Referral,1,Checkout,Checkout
277,Products,78,Direct,1,Home,Products
278,Products,191,Direct,1,Checkout,Home
279,Contact,589,Direct,1,Blog,Contact
280,Home,519,Direct,0,Contact,Home
281,Contact,392,Social,1,Checkout,Home
282,Contact,111,Referral,0,Checkout,Contact
283,Blog,532,Organic,0,Products,Blog
284,Home,175,Referral,1,Checkout,Contact
285,Home,320,Referral,1,Home,Home
286,Contact,381,Social,1,Contact,Home
287,Products,241,Direct,1,Products,Checkout
288,Contact,401,Organic,1,Home,Contact
289,Home,40,Referral,1,Products,Blog
290,Checkout,496,Social,1,Contact,Home
291,Home,126,Direct,0,Products,Blog
292,Home,476,Social,0,Contact,Products
293,Checkout,394,Direct,1,Checkout,Checkout
294,Blog,511,Social,0,Blog,Products
295,Contact,444,Direct,0,Contact,Products
296,Products,386,Organic,0,Home,Checkout
297,Products,552,Referral,1,Blog,Blog
298,Contact,456,Referral,0,Checkout,Products
299,Blog,245,Organic,1,Checkout,Checkout
300,Checkout,585,Social,0,Checkout,Checkout
301,Blog,239,Social,0,Home,Checkout
302,Blog,403,Organic,0,Contact,Contact
303,Checkout,476,Referral,0,Products,Checkout
304,Checkout,324,Direct,0,Checkout,Products
305,Blog,251,Direct,1,Home,Blog
306,Contact,334,Social,1,Checkout,Checkout
307,Home,405,Referral,1,Products,Checkout
308,Contact,279,Referral,0,Home,Checkout
309,Checkout,140,Social,1,Blog,Products
310,Blog,111,Referral,1,Checkout,Home
311,Checkout,471,Direct,0,Products,Products
312,Home,325,Referral,0,Blog,Products
313,Contact,586,Referral,0,Home,Blog
314,Contact,111,Organic,0,Products,Products
315,Home,125,Social,1,Blog,Contact
316,Products,517,Direct,1,Blog,Contact
317,Blog,352,Organic,1,Contact,Checkout
318,Home,99,Referral,0,Products,Blog
319,Products,452,Referral,1,Blog,Blog
320,Blog,521,Organic,1,Home,Checkout
321,Checkout,276,Organic,1,Blog,Blog
322,Checkout,248,Organic,1,Home,Checkout
323,Checkout,589,Social,0,Contact,Checkout
324,Contact,345,Social,0,Checkout,Blog
325,Contact,184,Social,0,Products,Contact
326,Checkout,449,Direct,1,Products,Checkout
327,Contact,388,Organic,1,Home,Home
328,Home,347,Referral,0,Blog,Blog
329,Blog,86,Direct,0,Blog,Contact
330,Checkout,364,Referral,0,Contact,Blog
331,Checkout,478,Organic,1,Contact,Products
332,Checkout,403,Social,0,Products,Checkout
333,Home,12,Organic,1,Home,Checkout
334,Blog,258,Organic,0,Blog,Products
335,Checkout,320,Referral,1,Checkout,Products
336,Products,200,Direct,1,Home,Home
337,Blog,225,Organic,1,Home,Checkout
338,Products,590,Referral,0,Contact,Blog
339,Contact,477,Referral,1,Contact,Home
340,Blog,571,Organic,1,Blog,Checkout
341,Contact,449,Social,1,Blog,Checkout
342,Contact,227,Referral,1,Products,Checkout
343,Checkout,142,Organic,0,Contact,Products
344,Contact,26,Social,0,Blog,Checkout
345,Home,542,Referral,1,Home,Checkout
346,Products,500,Direct,1,Contact,Home
347,Products,333,Organic,0,Contact,Home
348,Blog,31,Referral,1,Blog,Home
349,Contact,467,Referral,1,Home,Blog
350,Blog,183,Organic,1,Products,Contact
351,Checkout,161,Social,0,Contact,Home
352,Home,527,Direct,1,Home,Products
353,Contact,537,Organic,1,Products,Products
354,Blog,403,Social,1,Products,Blog
355,Checkout,218,Referral,1,Checkout,Blog
356,Checkout,101,Social,1,Checkout,Checkout
357,Blog,89,Organic,0,Home,Products
358,Products,54,Organic,0,Products,Home
359,Products,445,Direct,1,Blog,Home
360,Home,318,Social,0,Checkout,Checkout
361,Checkout,461,Referral,0,Products,Home
362,Home,544,Social,1,Checkout,Contact
363,Blog,207,Organic,1,Products,Checkout
364,Checkout,410,Organic,0,Contact,Home
365,Home,23,Direct,1,Products,Checkout
366,Home,576,Referral,0,Checkout,Home
367,Products,454,Referral,0,Products,Blog
368,Products,182,Social,0,Checkout,Contact
369,Products,366,Referral,1,Products,Home
370,Products,33,Social,1,Contact,Products
371,Products,309,Direct,0,Blog,Contact
372,Products,82,Referral,1,Home,Blog
373,Contact,343,Direct,0,Blog,Blog
374,Checkout,531,Direct,1,Products,Contact
375,Contact,507,Social,1,Home,Products
376,Contact,485,Referral,0,Contact,Contact
377,Checkout,393,Social,1,Contact,Blog
378,Contact,220,Social,1,Contact,Contact
379,Contact,323,Organic,0,Contact,Checkout
380,Products,542,Organic,0,Contact,Blog
381,Checkout,137,Organic,1,Checkout,Home
382,Contact,350,Social,0,Home,Home
383,Contact,101,Direct,0,Contact,Contact
384,Products,330,Social,1,Blog,Checkout
385,Checkout,153,Direct,1,Home,Blog
386,Home,368,Direct,0,Blog,Contact
387,Checkout,217,Direct,1,Products,Home
388,Home,458,Organic,1,Home,Blog
389,Products,54,Direct,0,Checkout,Home
390,Checkout,499,Organic,1,Blog,Contact
391,Home,428,Direct,1,Products,Home
392,Blog,380,Social,0,Products,Contact
393,Contact,248,Organic,1,Home,Products
394,Products,159,Organic,1,Contact,Contact
395,Products,370,Social,0,Checkout,Contact
396,Contact,57,Social,1,Products,Home
397,Products,536,Referral,1,Blog,Products
398,Home,216,Social,1,Products,Home
399,Contact,286,Organic,1,Checkout,Blog
400,Checkout,362,Referral,0,Products,Checkout
401,Checkout,447,Social,1,Products,Products
402,Products,567,Referral,0,Home,Contact
403,Products,315,Social,1,Home,Checkout
404,Contact,215,Organic,0,Home,Blog
405,Blog,86,Organic,0,Checkout,Contact
406,Blog,144,Social,1,Contact,Checkout
407,Contact,575,Social,0,Home,Contact
408,Products,219,Referral,0,Products,Blog
409,Products,434,Referral,1,Blog,Products
410,Checkout,454,Social,1,Home,Blog
411,Products,45,Direct,1,Products,Checkout
412,Blog,284,Direct,0,Checkout,Home
413,Contact,291,Referral,1,Checkout,Blog
414,Home,62,Referral,0,Blog,Blog
415,Home,381,Referral,1,Checkout,Checkout
416,Contact,387,Referral,0,Products,Contact
417,Checkout,443,Referral,0,Blog,Blog
418,Blog,420,Direct,0,Checkout,Contact
419,Home,139,Direct,1,Contact,Checkout
420,Products,132,Referral,1,Contact,Products
421,Products,264,Social,0,Checkout,Checkout
422,Blog,296,Referral,0,Blog,Products
423,Contact,295,Direct,1,Home,Products
424,Products,46,Direct,0,Checkout,Checkout
425,Blog,490,Referral,0,Products,Checkout
426,Checkout,481,Direct,1,Products,Checkout
427,Products,36,Organic,0,Contact,Checkout
428,Contact,300,Direct,0,Home,Checkout
429,Checkout,223,Direct,1,Products,Blog
430,Home,563,Organic,1,Contact,Checkout
431,Checkout,541,Social,0,Home,Contact
432,Home,403,Referral,1,Blog,Home
433,Contact,187,Organic,0,Home,Checkout
434,Home,298,Direct,1,Home,Contact
435,Checkout,461,Direct,1,Products,Blog
436,Blog,58,Social,0,Home,Contact
437,Products,392,Referral,0,Home,Contact
438,Contact,195,Direct,1,Checkout,Products
439,Products,499,Social,1,Checkout,Blog
440,Products,175,Organic,1,Checkout,Checkout
441,Checkout,301,Social,0,Products,Checkout
442,Home,331,Organic,1,Blog,Contact
443,Blog,129,Organic,1,Checkout,Blog
444,Products,64,Direct,1,Blog,Products
445,Home,173,Organic,1,Contact,Home
446,Checkout,219,Social,1,Products,Products
447,Contact,345,Direct,0,Home,Checkout
448,Blog,16,Referral,0,Contact,Contact
449,Home,369,Organic,1,Checkout,Contact
450,Blog,464,Social,0,Blog,Home
451,Home,335,Direct,1,Blog,Checkout
452,Contact,133,Organic,0,Home,Home
453,Blog,26,Referral,0,Checkout,Products
454,Contact,390,Referral,1,Checkout,Checkout
455,Products,410,Social,1,Checkout,Products
456,Products,277,Referral,1,Contact,Contact
457,Products,180,Direct,1,Products,Contact
458,Home,152,Referral,0,Checkout,Products
459,Contact,105,Organic,0,Products,Home
460,Contact,288,Social,1,Checkout,Products
461,Blog,101,Organic,0,Checkout,Checkout
462,Contact,81,Social,1,Checkout,Blog
463,Home,40,Referral,1,Contact,Blog
464,Products,592,Social,1,Blog,Checkout
465,Checkout,153,Organic,1,Home,Contact
466,Checkout,228,Referral,1,Checkout,Blog
467,Products,338,Organic,0,Contact,Blog
468,Home,579,Referral,1,Contact,Home
469,Checkout,355,Organic,1,Checkout,Products
470,Contact,221,Social,0,Blog,Products
471,Blog,36,Social,0,Home,Contact
472,Products,189,Direct,1,Home,Products
473,Checkout,162,Organic,1,Checkout,Home
474,Products,277,Referral,1,Home,Blog
475,Home,10,Social,1,Home,Contact
476,Contact,523,Direct,0,Blog,Home
477,Contact,176,Direct,0,Blog,Contact
478,Home,525,Referral,1,Checkout,Contact
479,Checkout,165,Organic,0,Contact,Blog
480,Contact,339,Referral,0,Blog,Checkout
481,Products,384,Social,1,Blog,Checkout
482,Products,191,Referral,0,Home,Contact
483,Blog,468,Direct,1,Checkout,Contact
484,Contact,433,Organic,0,Products,Blog
485,Contact,175,Direct,0,Blog,Products
486,Blog,277,Social,1,Blog,Contact
487,Products,562,Organic,1,Products,Products
488,Contact,279,Organic,1,Home,Home
489,Contact,234,Social,1,Contact,Blog
490,Contact,174,Organic,1,Checkout,Home
491,Products,423,Social,0,Blog,Home
492,Checkout,55,Direct,0,Products,Home
493,Contact,127,Referral,1,Products,Home
494,Blog,492,Social,1,Checkout,Checkout
495,Home,482,Direct,0,Blog,Products
496,Products,251,Social,1,Home,Products
497,Home,354,Referral,1,Contact,Blog
